Hex	Wiz１：狂王の試練場	Wiz２：ダイヤモンドの騎士	Wiz３：リルガミンの遺産	
00			ガラクタ	ガラクタ	
01	ガラクタ	イアリシンの宝珠	毒消し	
02	剣	中立の水晶	短剣	
03	短剣	悪の水晶	メイス	
04	メイス	善の水晶	フレイル	
05	フレイル	瓶詰めの船	杖	
06	杖	大地の杖	短刀	
07	短刀	空気の魔除け	小型の盾	
08	小型の盾	聖水	盾	
09	ローブ	炎の杖	ローブ	
0A	皮の鎧	金のメダリオン	皮の鎧	
0B	鎖帷子	ミューズフェスの宝珠	鎖帷子	
0C	胸当て	バタフライナイフ	胸当て	
0D	プレートメイル	短剣	プレートメイル	
0E	兜	ブロードナイフ	兜	
0F	治療の薬	メイス	治療の薬	
10	毒消し	杖	毒消し	
11	切り裂きの剣	斧	切り裂きの剣	
12	鋭い短剣	バトルアックス	貫きの短剣	
13	粉砕のメイス	短刀	粉砕のメイス	
14	鉄の杖	フレイル	鉄の杖	
15	眠りの巻物	盾	眠りの巻物	
16	硬い皮鎧	鉄の盾	硬い皮鎧	
17	光る鎖帷子	魔法使いのローブ	光る鎖帷子	
18	益荒男の鎧	キュイラス	益荒男の鎧	
19	鉄の盾	ホウバーク	鉄の盾	
1A	胴鎧	胸当て	胴鎧	
1B	痛みの巻物	プレートメイル	痛みの巻物	
1C	炎の巻物	サーリット	炎の巻物	
1D	鈍らな剣	傷薬	鈍らな剣	
1E	幻滅の短剣	毒消し	幻滅の短剣	
1F	災いのメイス	レイピア	災いのメイス	
20	硬い杖	切り裂きの剣	硬い杖	
21	ドラゴンスレイヤー	粉砕のメイス	ドラゴンスレイヤー	
22	忍耐の兜	ヘビーアックス	忍耐の兜	
23	腐った皮鎧	ヌンチャク	腐った皮鎧	
24	錆びた鎖帷子	切り裂きの短剣	錆びた鎖帷子	
25	罅割れた胸当て	眠りの巻物	罅割れた胸当て	
26	歪んだ盾	硬い皮鎧	歪んだ盾	
27	宝石の指輪	光る鎖帷子	宝石の指輪	
28	稲妻の巻物	胴鎧	稲妻の巻物	
29	煙球	益荒男の鎧	煙球	
2A	真っ二つの剣	鉄の盾+1	真っ二つの剣	
2B	レイピア	鉄の兜	レイピア	
2C	力のメイス	鉄の小手	力のメイス	
2D	導きの巻物	苦痛の巻物	導きの巻物	
2E	目晦ましの巻物	炎の薬	目晦ましの巻物	
2F	胴の小手	幻滅の短剣	胴の小手	
30	豪華な皮鎧	鈍らな剣	豪華な皮鎧	
31	銀の鎖帷子	災いのメイス	銀の鎖帷子	
32	極上の鎧	赤錆びた短刀	極上の鎧	
33	支えの盾	壊れた斧	支えの盾	
34	悪の兜	マルゴーのフレイル	悪の兜	
35	特効薬	宝石の袋	特効薬	
36	守りの指輪	魔法使いの杖	守りの指輪	
37	ワースレイヤー	フレイムタン	ワースレイヤー	
38	メイジマッシャー	歪んだ盾	メイジマッシャー	
39	蛇のメイス	腐った皮鎧	蛇のメイス	
3A	沈黙の杖	錆びた鎖帷子	沈黙の杖	
3B	カシナートの剣	罅割れた胸当て	カシナートの剣	
3C	戒めの指輪	古代の鎧	戒めの指輪	
3D	炎の杖	古びた兜	炎の杖	
3E	悪の鎖帷子	煙球	悪の鎖帷子	
3F	中立の鎧	金の指輪	中立の鎧	
40	悪の盾	サラマンダーの指輪	悪の盾	
41	酸欠の指輪	蛇の牙	酸欠の指輪	
42	転移の兜	真っ二つの剣	転移の兜	
43	一撃の巻物	レイピア+1	一撃の巻物	
44	破滅の短剣	グレートアックス	破滅の短剣	
45	切り裂きの短剣	象牙の短剣（善）	切り裂きの短刀	
46	病めるメイル	黒檀の短刀（悪）	病めるメイル	
47	捩れた杖	琥珀の短刀（中）	捩れた杖	
48	早業の短刀	力のメイス	早業の短刀	
49	呪われたローブ	ミスリルの小手	呪われたローブ	
4A	破滅の皮鎧	麻痺の魔除け	破滅の皮鎧	
4B	呪いの鎖帷子	豪華な皮鎧	呪いの鎖帷子	
4C	悪魔の胸当て	支えの盾	悪魔の胸当て	
4D	虚ろの盾	身躱しのローブ	虚ろの盾	
4E	古びた兜	銀の鎖帷子	古びた兜	
4F	希望の胸当て	希望の胸当て	希望の胸当て	
50	銀の小手	極上の鎧	銀の小手	
51	悪のサーベル	アーメット	悪のサーベル	
52	ソウルスレイヤー	ワーガンローブ	ソウルスレイヤー	
53	盗賊の短刀	巨人の棍棒	盗賊の短刀	
54	英雄の胸当て	カシナートの剣	英雄の胸当て	
55	君主の聖衣	羊飼いの杖	君主の聖衣	
56	村正	邪悪の斧	村正	
57	手裏剣	滅びの杖	手裏剣	
58	氷の鎖帷子	魔除けの宝石	氷の鎖帷子	
59	悪の鎧	エメラルドの袋	悪の鎧	
5A	守りの盾	ガーネットの袋	守りの盾	
5B	回復の指輪	青真珠	回復の指輪	
5C	破邪の指輪	ルビーのスリッパ	破邪の指輪	
5D	滅びの指輪	ネクロマンサーの杖	滅びの指輪	
5E	ワードナーの魔除け	生命の書	復活の杖	
5F	熊の置物	滅びの書	古のお守り	
60	カエルの置物	ドラゴンの牙	身交わしのローブ	
61	青銅の鍵	トロールの指輪	手袋	
62	銀の鍵	ウサギの足	魔封じのネックレス	
63	金の鍵	盗賊のピック	光の杖	
64	ブルーリボン	悪魔の書	光の剣	
65	ガラクタ	バタフライナイフ	閃きの剣	
66	ガラクタ	金のティアラ	プリーストパンチャー	
67	ガラクタ	カマキリの小手	僧侶のメイス	
