xx	0x	1x	2x	3x	4x	5x	6x	7x	8x	9x	Ax	Bx	Cx	Dx	Ex	Fx	

x0	　	ざ	　	０	＠	Ｐ	う	ｐ	て	ぶ	ゆ	イ	ゴ	ツ	ピ	ヤ	
x1	ぇ	し	！	１	Ａ	Ｑ	ａ	ｑ	で	ぷ	ょ	ゥ	サ	ヅ	フ	ュ	
x2	え	じ	”	２	Ｂ	Ｒ	ｂ	ｒ	と	へ	よ	ウ	ザ	テ	ブ	ユ	
x3	ぉ	す	＃	３	Ｃ	Ｓ	ｃ	ｓ	ど	べ	ら	ェ	シ	デ	プ	ョ	
x4	お	ず	＄	４	Ｄ	Ｔ	ｄ	ｔ	な	ぺ	り	エ	ジ	ト	ヘ	ヨ	
x5	か	せ	％	５	Ｅ	Ｕ	ｅ	ｕ	に	ほ	る	ォ	ス	ド	ベ	ラ	
x6	が	ぜ	＆	６	Ｆ	Ｖ	ｆ	ｖ	ぬ	ぼ	れ	オ	ズ	ナ	ペ	リ	
x7	き	そ	’	７	Ｇ	Ｗ	ｇ	ｗ	ね	ぽ	ろ	カ	セ	ニ	ホ	ル	
x8	ぎ	ぞ	（	８	Ｈ	Ｘ	ｈ	ｘ	の	ま	わ	ガ	ゼ	ヌ	ボ	レ	
x9	く	た	）	９	Ｉ	Ｙ	ｉ	ｙ	は	み	を	キ	ソ	ネ	ポ	ロ	
xA	ぐ	だ	＊	：	Ｊ	Ｚ	ｊ	ｚ	ば	む	ん	ギ	ゾ	ノ	マ	ワ	
xB	け	ち	＋	；	Ｋ	「	ｋ	ぁ	ぱ	め	、	ク	タ	ハ	ミ	ヲ	
xC	げ	ぢ	，	＜	Ｌ	￥	ｌ	あ	ひ	も	。	グ	ダ	バ	ム	ン	
xD	こ	っ	－	＝	Ｍ	」	ｍ	ぃ	び	ゃ	ァ	ケ	チ	パ	メ	ヴ	
xE	ご	つ	．	＞	Ｎ	・	ｎ	い	ぴ	や	ア	ゲ	ヂ	ヒ	モ	゛	
xF	さ	づ	／	？	Ｏ	＿	ｏ	ぅ	ふ	ゅ	ィ	コ	ッ	ビ	ャ	゜	
